generation,leftchild,rightchild,abstime,betainit,betashift
0,Rhinecanthus_aculeatus,Melichthys_niger,0,0.5,0
5000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0189842,-0.049003
10000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0408839,-0.128302
10000,Abalistes_stellaris,NA,19.441,1.70112,0.0443334
15000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0565252,-0.134401
20000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0401061,-0.113803
25000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0180181,-0.0464049
30000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0213779,-0.0470535
35000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0460371,-0.116785
40000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.022495,-0.0775486
45000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0380823,-0.0796075
50000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0257736,-0.0933017
55000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0580227,-0.120355
60000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0785176,-0.112338
65000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0315887,-0.0859975
70000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0455842,-0.108024
75000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0182422,-0.0910831
75000,Rhinecanthus_rectangulus,NA,20.283,11.4002,0.098415
80000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0478359,-0.114488
85000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0527363,-0.136892
90000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0184368,-0.10652
95000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0219383,-0.0636185
100000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0133638,0.00248455
100000,Pseudobalistes_fuscus,NA,19.984,1.22539,0.0351515
105000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0130181,-0.0300667
