generation,leftchild,rightchild,abstime,betainit,betashift
0,Rhinecanthus_aculeatus,Melichthys_niger,0,0.5,0
5000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0263643,-0.0901387
10000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0266765,-0.0610079
15000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0266153,-0.0847781
20000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0330852,-0.0392421
25000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0196022,-0.0471719
25000,Balistoides_conspicillum,NA,12.3201,0.0383017,-0.00885314
30000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0264339,-0.0673492
30000,Balistes_vetula,NA,19.538,0.00838505,0.048063
35000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.021316,-0.0830604
40000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0304292,-0.0755405
45000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00892586,-0.00186354
50000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0326019,-0.110924
55000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0160135,-0.0508604
55000,Rhinecanthus_assasi,NA,20.0828,0.0227815,0.098703
60000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0101091,0.00326003
65000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00642918,-0.0428522
65000,Abalistes_stellaris,NA,10.6207,0.0396798,-0.0714004
65000,Canthidermis_maculata,NA,19.9809,0.0486006,0.0121866
65000,Canthidermis_maculata,Canthidermis_sufflamen,8.43057,0.07087,-0.105211
70000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0138029,-0.0624899
75000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0384089,-0.0194929
75000,Rhinecanthus_aculeatus,Rhinecanthus_verrucosus,11.1283,0.00440994,-0.00557028
75000,Balistes_capriscus,NA,17.0238,0.036294,0.126536
75000,Canthidermis_maculata,Canthidermis_sufflamen,17.5744,0.0395236,-0.00812452
75000,Melichthys_niger,Xanthichthys_ringens,1.92591,0.00230873,0.0465129
80000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0300456,-0.0815653
85000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0183476,-0.0618536
90000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0186472,-0.0603334
