generation,leftchild,rightchild,abstime,betainit,betashift
0,Rhinecanthus_aculeatus,Melichthys_niger,0,0.5,0
5000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.193332,-0.227623
10000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0209542,-0.106221
15000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0439945,-0.11551
20000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.018231,-0.0574564
25000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0186575,-0.0722477
30000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0149301,-0.0760979
35000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0414067,-0.0964569
40000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0677316,-0.139661
45000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0425733,-0.139661
50000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0254576,-0.120567
55000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0285482,-0.0868867
60000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0308767,-0.119635
65000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.02113,-0.0489913
70000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0193725,-0.0791012
75000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0099105,0.0451503
80000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0193287,-0.0571893
85000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0494676,-0.102289
90000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0053983,0.0424156
95000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0228117,-0.101194
100000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0250031,-0.0908922
105000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0118826,-0.019401
110000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0203426,-0.0778607
115000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.062531,-0.123076
120000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0179145,-0.0580543
125000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.027129,-0.0819105
130000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0453775,-0.119985
135000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0279507,-0.080992
140000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0238415,-0.093808
145000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0490118,-0.100521
150000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0167552,-0.0472562
155000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0608947,-0.129072
160000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0149449,-0.0965861
165000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0168413,-0.0553146
170000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0259302,-0.051604
175000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0159895,-0.051604
180000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0243825,-0.0701912
180000,Abalistes_stellaris,NA,10.9619,0.44683,0.0543835
185000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0209237,-0.0726384
190000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0171642,-0.0398205
195000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0353197,-0.0660493
200000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.016058,-0.0466626
205000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0238399,-0.0543511
210000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0178033,-0.0876691
