generation,leftchild,rightchild,abstime,betainit,betashift
0,Rhinecanthus_aculeatus,Melichthys_niger,0,0.5,0
5000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0256759,-0.050465
10000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0441401,-0.0574879
15000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0153954,0.00851621
20000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0247495,-0.00882915
20000,Balistoides_conspicillum,NA,17.1477,0.0586165,-0.0148071
25000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0256533,-0.0432948
25000,Melichthys_niger,NA,14.4007,0.00172845,-0.000768115
30000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0291816,-0.093719
30000,Rhinecanthus_rectangulus,NA,18.1412,0.00488374,0.112735
30000,Canthidermis_maculata,Canthidermis_sufflamen,8.12213,0.00979842,-0.0173934
30000,Balistoides_viridescens,Pseudobalistes_flavimarginatus,12.6303,0.0249867,-0.068371
35000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0171235,0.0131668
40000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0259393,-0.0532837
45000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0215007,-0.0629513
45000,Balistoides_viridescens,Pseudobalistes_flavimarginatus,19.7059,0.020201,-0.0148642
50000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.039871,-0.0605721
50000,Balistapus_undulatus,NA,18.6743,0.0695164,-0.0394694
55000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0450114,-0.0804353
60000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0363039,-0.0876339
60000,Rhinecanthus_aculeatus,Rhinecanthus_verrucosus,11.1227,0.000652104,-0.0893285
60000,Xanthichthys_ringens,Xanthichthys_lineopunctatus,14.4586,0.041485,-0.01276
65000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.031849,-0.0404535
70000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0225247,-0.0220523
70000,Rhinecanthus_rectangulus,NA,17.5377,0.0379404,0.0280033
70000,Rhinecanthus_aculeatus,Rhinecanthus_verrucosus,13.6394,7.82358e-05,0.0152642
70000,Odonus_niger,NA,19.4675,0.0246265,-0.00191422
75000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0215977,0.0322445
80000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0207558,-0.00106069
85000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0178857,-0.013447
90000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0230627,-0.013447
95000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00819813,0.0664448
95000,Rhinecanthus_aculeatus,Rhinecanthus_verrucosus,9.21311,0.000403525,0.0267521
95000,Odonus_niger,NA,8.66196,0.126376,-0.0545131
100000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0232621,0.00910274
105000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0184471,-0.0461875
105000,Abalistes_stellaris,NA,19.6599,0.0297259,-0.0860947
105000,Balistoides_viridescens,Pseudobalistes_flavimarginatus,14.6086,0.191956,0.054137
110000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0608569,-0.113421
110000,Sufflamen_chrysopterum,NA,20.1279,0.106544,0.0064763
110000,Pseudobalistes_naufragium,NA,19.3235,0.0376186,0.0342802
110000,Balistoides_viridescens,Pseudobalistes_flavimarginatus,12.9664,0.0398278,-0.00460703
115000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0310627,-0.0597591
115000,Balistes_vetula,NA,15.3766,0.0359506,-0.103841
115000,Xanthichthys_ringens,Xanthichthys_lineopunctatus,18.1977,0.0196018,-0.0961821
120000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.020264,0.00284874
120000,Balistes_capriscus,Balistes_vetula,10.6674,0.0519399,0.157034
125000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0158503,-0.00408421
125000,Canthidermis_maculata,Canthidermis_sufflamen,16.2328,0.132958,0.0934305
125000,Melichthys_niger,NA,10.9447,0.0732657,0.0387285
125000,Balistoides_viridescens,Pseudobalistes_flavimarginatus,18.1876,0.0340185,0.0145595
130000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0201203,-0.0569572
135000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0373416,-0.0369207
135000,Abalistes_stellaris,NA,5.3536,0.0205501,-0.104057
140000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0615133,-0.0812486
145000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0268383,-0.048526
150000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00569281,0.0792748
155000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0239159,-0.0197618
160000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00666304,0.0572074
160000,Canthidermis_maculata,Canthidermis_sufflamen,6.91173,0.0553208,-0.0459308
160000,Odonus_niger,NA,15.6358,0.0076548,0.0240484
165000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0189948,0.0214957
170000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0253627,-0.0195027
170000,Rhinecanthus_assasi,NA,20.0342,0.023932,-0.0936326
170000,Abalistes_stellaris,NA,19.9935,0.144113,-0.056956
170000,Canthidermis_maculata,Canthidermis_sufflamen,6.83082,0.00823469,-0.0451355
170000,Balistoides_conspicillum,NA,11.0402,0.116132,-0.0203295
175000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0192505,0.00907608
180000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0226607,-0.0126702
180000,Sufflamen_albicaudatum,Sufflamen_chrysopterum,19.1647,0.0627084,-0.0211944
185000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00915514,0.0699476
185000,Rhinecanthus_aculeatus,Rhinecanthus_assasi,16.3468,0.0484343,-0.0182652
190000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0263529,-0.0700613
190000,Rhinecanthus_assasi,NA,19.8777,0.150033,0.0620386
190000,Balistoides_viridescens,Pseudobalistes_flavimarginatus,14.1033,0.0604921,-0.0235871
195000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0529983,-0.107944
200000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0193625,-0.0227412
205000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0192141,-0.0118275
205000,Balistoides_conspicillum,NA,19.8654,0.172555,0.0206084
205000,Balistapus_undulatus,NA,10.6383,0.189473,-0.0243523
205000,Balistoides_viridescens,Pseudobalistes_flavimarginatus,14.0257,0.0095151,0.0951542
210000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0208251,-0.0445002
215000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.020494,0.00343774
220000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0162342,0.00137882
220000,Rhinecanthus_assasi,NA,20.3522,0.0411325,0.024734
220000,Abalistes_stellaris,NA,4.24955,0.0911481,0.114121
220000,Xanthichthys_ringens,Xanthichthys_lineopunctatus,15.9124,0.0053235,-0.0447315
225000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00880508,0.0265257
230000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0166494,0.00214964
230000,Xanthichthys_lineopunctatus,NA,19.9865,0.0205294,0.0299461
235000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0188033,-0.00515722
240000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0408681,-0.0296746
245000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0306276,-0.0644591
250000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0651096,-0.077994
250000,Canthidermis_maculata,Canthidermis_sufflamen,3.46463,0.01826,0.0251437
255000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0448915,-0.0727091
255000,Balistes_capriscus,NA,16.3536,0.0756852,0.0283718
260000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0183671,-0.0594573
265000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0294453,-0.0768388
265000,Balistoides_viridescens,Pseudobalistes_flavimarginatus,15.2337,0.0728996,-0.0327178
270000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00783486,0.0052719
270000,Balistes_capriscus,NA,13.8281,0.0321699,0.0768382
270000,Canthidermis_maculata,Canthidermis_sufflamen,11.8496,0.0482563,0.0473414
270000,Odonus_niger,NA,13.5094,0.0994696,0.00355277
275000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0250929,-0.0579523
280000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0179361,-0.0294504
285000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0223424,-0.0337081
285000,Abalistes_stellaris,NA,17.3748,0.00276475,0.0616101
285000,Canthidermis_sufflamen,NA,20.147,0.102149,0.0148539
285000,Balistoides_conspicillum,NA,13.7339,0.0547055,-0.0388326
285000,Balistapus_undulatus,NA,19.8876,0.0159148,0.0322447
285000,Balistoides_viridescens,Pseudobalistes_flavimarginatus,9.62718,0.118214,0.112031
290000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0266411,-0.0233511
295000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00795798,0.0683395
