generation,leftchild,rightchild,abstime,betainit,betashift
0,Rhinecanthus_aculeatus,Melichthys_niger,0,0.5,0
5000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000355887,-0.0188111
10000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00038542,0.0300893
15000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00122858,-0.118556
20000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000892351,-0.0841806
25000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000315222,-0.000439507
30000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000179368,0.00599778
35000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000109514,0.147996
40000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000714699,-0.109229
40000,Xanthichthys_lineopunctatus,NA,19.4719,0.273553,-0.0431598
45000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00030133,-0.0337455
50000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00058146,-0.0430935
55000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000799731,-0.0761987
60000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000371534,-0.0168048
65000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000417534,-0.0534965
70000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000282001,-0.00956741
75000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000421821,-0.0358034
80000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0011247,-0.0782658
85000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000230647,0.0110703
90000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000604567,-0.0140752
95000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000312494,-0.0245346
100000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000158073,0.00681148
105000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000203168,0.0695776
110000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000295962,-0.00050156
115000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000428995,0.00187438
120000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000272746,0.0521142
125000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000121507,0.0386471
130000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000644823,-0.0580035
135000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000415934,-0.00964052
140000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000499696,-0.0612761
145000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00044269,-0.0365378
150000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000431964,-0.0530442
155000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0007663,-0.0530442
160000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000330154,-0.00609793
165000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000370844,-0.0258558
170000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000225414,0.0543078
175000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000171196,0.102394
180000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000226239,0.0686308
185000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000127572,0.104553
190000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000214586,0.040513
195000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000645631,-0.0523679
200000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000230451,0.0531894
205000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000235518,0.0207319
210000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000249751,0.014255
215000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000113546,0.0607712
220000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000349014,-0.0240787
225000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000271595,0.0149595
230000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000356354,-0.0413701
235000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000574906,-0.0441469
240000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00261882,-0.141233
245000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00106915,-0.104724
250000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00260276,-0.0914132
255000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0013756,-0.0896637
260000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000389248,-0.0224435
265000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000353727,-0.0296253
270000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000625538,-0.0653789
275000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000536905,-0.0118698
280000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000136047,0.0502169
285000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000157352,0.000352564
290000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000258613,-0.00631483
295000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000424102,-0.0414869
300000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000716654,-0.0685518
305000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00124704,-0.095438
310000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00114358,-0.0920604
315000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0008287,-0.0791806
320000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000612653,-0.0516352
325000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000807549,-0.102629
325000,Xanthichthys_lineopunctatus,NA,19.2396,2.23503,0.0677376
330000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00183004,-0.0939786
335000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000789853,-0.0694458
340000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00067485,-0.0835398
345000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000632839,-0.0426329
350000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000890241,-0.0961871
355000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.001205,-0.0858387
360000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000432495,-0.0229607
365000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000275236,-0.00103107
370000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000200403,0.00346473
375000,Rhinecanthus_aculeatus,Melichthys_niger,0,9.66684e-05,0.1663
380000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000161291,0.0648542
385000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000386542,0.00018742
390000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000514532,-0.0179356
395000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000721159,-0.0698471
400000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000288638,0.0110816
405000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000212902,-0.0177348
410000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000247716,0.00162662
415000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00084821,-0.0581367
420000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000831765,-0.0536569
425000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000339897,-0.024784
430000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000213835,0.0210566
435000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000161064,0.0451016
440000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000225234,0.0252439
445000,Rhinecanthus_aculeatus,Melichthys_niger,0,7.08245e-05,0.042683
450000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000197988,0.00398669
455000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000243573,-0.013982
460000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000277844,0.0201795
465000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00029856,0.00027721
470000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00026946,0.00806841
475000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000451928,-0.0150777
480000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000487521,-0.0513706
485000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000222073,-0.000507061
490000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000381103,-0.0140206
495000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000507921,-0.0337865
500000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000326779,0.0428582
505000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000158773,0.167013
510000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000161662,0.0520037
515000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00109707,-0.0507271
520000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000287256,0.0569771
525000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000265293,0.0221926
530000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000216294,0.00418309
