generation,leftchild,rightchild,abstime,betainit,betashift
0,Rhinecanthus_aculeatus,Melichthys_niger,0,0.5,0
5000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00456317,-0.262087
5000,Rhinecanthus_aculeatus,Sufflamen_albicaudatum,5.57205,0.000248891,-0.0249059
5000,Melichthys_niger,Xanthichthys_ringens,2.02567,0.00034111,0.0985813
10000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0012313,-0.0772398
10000,Melichthys_niger,Xanthichthys_ringens,2.00455,0.000392479,0.00577039
15000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000594129,-0.107444
15000,Odonus_niger,NA,15.9376,2.03359e-05,-0.055264
15000,Xanthichthys_ringens,Xanthichthys_lineopunctatus,12.1454,0.000509891,0.0831912
20000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000662455,-0.107444
20000,Abalistes_stellaris,NA,4.76414,0.00113969,-0.0169659
20000,Xanthichthys_ringens,Xanthichthys_lineopunctatus,16.9933,0.00158586,-0.0173698
25000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000758263,-0.0808139
30000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000238681,-0.0509869
30000,Balistes_vetula,NA,16.2786,0.00287363,-0.080802
30000,Pseudobalistes_naufragium,NA,13.0089,0.000151413,-0.057657
30000,Xanthichthys_ringens,Xanthichthys_lineopunctatus,9.44435,0.00069314,-0.0565023
35000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000547648,-0.0439401
35000,Balistes_capriscus,NA,19.5948,0.000317837,0.0292339
40000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000252378,0.0211402
45000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000541702,-0.0574411
50000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000715226,-0.0574411
55000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000385653,-0.0880177
55000,Pseudobalistes_naufragium,NA,17.3193,0.00014327,0.133452
55000,Odonus_niger,NA,18.5096,0.000902733,0.00663898
55000,Xanthichthys_ringens,Balistoides_viridescens,5.502,0.00144506,-0.0986259
60000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00061771,-0.121285
60000,Xanthichthys_ringens,Xanthichthys_lineopunctatus,18.2993,0.00136475,-0.00734095
65000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00163259,-0.0657814
65000,Rhinecanthus_aculeatus,Rhinecanthus_verrucosus,6.50007,0.000266793,0.00237817
70000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00025427,-0.0207823
70000,Canthidermis_maculata,Canthidermis_sufflamen,8.29687,0.000842301,-0.0789461
75000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000333201,-0.0113506
80000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000561481,-0.0511847
80000,Balistapus_undulatus,NA,18.6843,5.63282e-06,0.035441
85000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000547501,-0.0413969
90000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000516827,-0.0283866
95000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000597414,0.00302199
100000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000718928,-0.0440079
100000,Sufflamen_albicaudatum,Sufflamen_fraenatum,9.87554,6.9152e-05,-0.0511079
100000,Rhinecanthus_aculeatus,Abalistes_stellaris,3.38381,4.76126e-05,-0.00646818
100000,Pseudobalistes_fuscus,Pseudobalistes_naufragium,6.0518,0.000402125,0.0114734
100000,Balistes_capriscus,Pseudobalistes_fuscus,3.95456,0.00160771,-0.0999474
100000,Balistes_capriscus,Canthidermis_maculata,2.85518,0.00154299,-0.0356791
105000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000261199,-0.0684168
105000,Balistoides_conspicillum,NA,11.9416,0.00115149,0.0330141
105000,Xanthichthys_ringens,Xanthichthys_lineopunctatus,15.9589,0.00147293,0.0681401
105000,Balistoides_viridescens,NA,20.1418,0.000193519,-0.0246703
105000,Xanthichthys_ringens,Balistoides_viridescens,4.678,0.000180394,-0.103754
110000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000113011,0.0812042
115000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000179375,0.0277781
115000,Melichthys_niger,Odonus_niger,4.25668,0.000347608,-0.0211314
120000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000187299,0.015029
125000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000257272,-0.0300405
125000,Balistes_vetula,NA,19.8402,0.0052966,-0.078493
130000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000502825,-0.033332
135000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000336375,0.0820187
135000,Rhinecanthus_aculeatus,Rhinecanthus_verrucosus,10.5161,0.000313036,-0.00788016
135000,Balistes_capriscus,Balistes_vetula,11.0411,0.000136125,0.0776548
135000,Balistoides_conspicillum,NA,18.8661,0.000642961,0.0891741
140000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000159489,0.0269212
140000,Pseudobalistes_fuscus,NA,12.8054,0.000956612,-0.0723208
145000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000644263,-0.0641149
145000,Odonus_niger,NA,11.1452,0.00214071,-0.0780497
145000,Balistoides_viridescens,Pseudobalistes_flavimarginatus,11.9437,0.000278081,-0.0269867
150000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000309054,-0.0557447
150000,Xanthichthys_lineopunctatus,NA,18.5718,0.000931374,-0.0126889
155000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000140577,0.043845
160000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000438113,-0.0526791
160000,Sufflamen_fraenatum,NA,12.8588,0.000524427,0.00755444
160000,Sufflamen_fraenatum,NA,20.3974,0.000618324,0.055076
160000,Canthidermis_maculata,Canthidermis_sufflamen,6.72735,0.00115258,-0.0219598
160000,Melichthys_niger,NA,16.4415,0.000201083,0.0408034
160000,Xanthichthys_ringens,Xanthichthys_lineopunctatus,13.1922,0.000648217,0.0436052
165000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0002537,-0.0526791
165000,Xanthichthys_ringens,Xanthichthys_lineopunctatus,9.36977,0.000389144,-0.027073
170000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00113569,-0.0716299
175000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00048806,-0.0314403
180000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00119167,-0.0795431
180000,Balistoides_conspicillum,NA,11.9203,0.000206744,-0.0776957
185000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000616934,-0.0985252
185000,Xanthichthys_ringens,Xanthichthys_lineopunctatus,14.5474,0.00156395,0.00487427
190000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000562456,-0.100223
190000,Sufflamen_bursa,NA,16.9864,0.000157723,0.00389977
190000,Sufflamen_albicaudatum,Sufflamen_fraenatum,9.6702,0.000159897,-0.0573257
190000,Melichthys_niger,NA,12.4152,0.000476841,0.0535586
190000,Xanthichthys_ringens,Xanthichthys_lineopunctatus,14.9048,0.00245668,-0.0231836
195000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000463777,-0.115767
195000,Abalistes_stellaris,NA,10.9384,0.000757386,-0.0788211
195000,Odonus_niger,NA,9.54491,0.00246976,0.0327544
195000,Xanthichthys_ringens,Xanthichthys_lineopunctatus,18.0318,0.000687131,-0.0930131
200000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000485891,-0.0495036
200000,Balistapus_undulatus,NA,19.3261,0.00195411,0.00809941
200000,Xanthichthys_ringens,Xanthichthys_lineopunctatus,8.97023,0.000447005,0.064043
205000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000370376,-0.0686995
205000,Xanthichthys_ringens,Xanthichthys_lineopunctatus,9.94591,0.00124865,-0.0315719
205000,Xanthichthys_ringens,Balistoides_viridescens,6.63289,0.0007111,0.0577824
210000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00155519,-0.184417
210000,Sufflamen_bursa,NA,16.4926,0.00105683,0.00186577
210000,Balistes_vetula,NA,16.1737,0.000172861,-0.0907836
210000,Balistapus_undulatus,NA,16.5239,0.000566224,-0.0428485
210000,Xanthichthys_ringens,Balistoides_viridescens,7.74079,0.000866927,-0.0978684
215000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000199968,0.0314818
215000,Balistapus_undulatus,NA,13.1121,0.000861722,-0.0658685
220000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000325972,-0.014641
225000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000605765,-0.0344096
230000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000240087,0.000749999
230000,Canthidermis_maculata,Canthidermis_sufflamen,13.3483,0.00184635,0.0499901
230000,Canthidermis_maculata,Canthidermis_sufflamen,14.3063,0.0055186,0.0360462
235000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000854781,-0.129264
235000,Canthidermis_maculata,NA,19.076,0.00113768,-0.0403031
235000,Xanthichthys_ringens,NA,19.8964,0.00230664,-0.0232917
235000,Balistoides_viridescens,Pseudobalistes_flavimarginatus,11.1129,0.000569335,-0.011879
240000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000222311,0.0325315
245000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000316407,0.00326535
245000,Sufflamen_fraenatum,NA,16.3189,0.000911781,-0.00606906
250000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000413025,-0.0562741
250000,Xanthichthys_ringens,Balistoides_viridescens,3.04418,0.000396301,0.00309452
255000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000188049,0.0244092
255000,Sufflamen_chrysopterum,NA,20.2338,0.00114195,0.0894412
255000,Abalistes_stellaris,NA,14.9615,0.000938572,0.02336
255000,Pseudobalistes_fuscus,Pseudobalistes_naufragium,5.61388,0.000405281,-0.0715044
255000,Balistoides_conspicillum,NA,13.1008,0.00110902,-0.0773214
255000,Xanthichthys_ringens,Xanthichthys_lineopunctatus,16.8267,0.000975181,0.0449731
260000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000153254,0.0211089
260000,Balistapus_undulatus,NA,16.0877,0.000420183,-0.0978264
260000,Xanthichthys_ringens,NA,19.0697,0.00242267,0.0298292
265000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000192173,0.000409264
270000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000810422,-0.0914412
270000,Odonus_niger,NA,16.2429,0.000952342,-0.0987482
270000,Xanthichthys_ringens,Xanthichthys_lineopunctatus,13.6898,0.00115667,-0.000644483
275000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000895856,-0.0914412
275000,Rhinecanthus_aculeatus,NA,18.7158,0.000987134,0.0585487
280000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00114169,-0.084943
280000,Balistes_capriscus,NA,14.3316,0.0028667,0.0266034
280000,Rhinecanthus_rectangulus,NA,19.5348,0.000234867,-0.060811
280000,Xanthichthys_ringens,Xanthichthys_lineopunctatus,12.1546,0.00422281,0.0858228
280000,Abalistes_stellaris,NA,14.7394,0.000339826,-0.0731287
285000,Rhinecanthus_aculeatus,Melichthys_niger,0,4.78872e-05,0.00383427
285000,Pseudobalistes_fuscus,NA,11.3179,0.000492823,-0.0116018
285000,Pseudobalistes_naufragium,NA,12.8131,9.7934e-06,-0.0113322
285000,Canthidermis_maculata,Canthidermis_sufflamen,4.55965,0.000273116,0.0548432
285000,Xanthichthys_ringens,Balistoides_viridescens,7.38928,0.000853542,-0.0290664
290000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000304891,0.018579
290000,Canthidermis_maculata,Canthidermis_sufflamen,9.78603,0.000728453,-0.105428
290000,Odonus_niger,NA,18.5758,0.00278476,0.0398366
295000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000256132,-0.00872505
295000,Rhinecanthus_assasi,NA,19.1484,0.00012225,0.00271357
295000,Sufflamen_albicaudatum,Sufflamen_fraenatum,10.7525,2.63379e-05,0.058865
300000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000108789,0.0988471
300000,Balistapus_undulatus,NA,16.4004,0.00208284,0.00279055
300000,Odonus_niger,NA,10.8105,0.00266171,-0.0208291
305000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000760048,-0.0383764
