generation,leftchild,rightchild,abstime,betainit,betashift
0,Rhinecanthus_aculeatus,Melichthys_niger,0,0.5,0
5000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00116795,-0.100434
10000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000648333,-0.0313678
15000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000263333,-0.0421919
20000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000179889,0.0287878
25000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000385642,-0.0277833
30000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000324012,-0.0063718
35000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000200135,0.0265499
40000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000301601,0.0265499
45000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000212927,0.0507219
50000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000508051,-0.040184
55000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000263418,0.0242855
60000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000330691,-0.0131628
65000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000290758,-0.0169497
70000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000121733,0.0313122
75000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000189541,0.0190297
80000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000299947,-0.0255011
85000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00045329,-0.0466455
90000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000173307,0.0357115
95000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00106989,-0.0477605
100000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000455842,-0.0325543
105000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000229135,0.0202749
110000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000896519,-0.0812297
115000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000591973,-0.0483253
120000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000495271,-0.0322516
125000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000826977,-0.0825014
130000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000364014,-0.0318686
135000,Rhinecanthus_aculeatus,Melichthys_niger,0,8.77871e-05,0.0814197
140000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000354608,-0.00577167
145000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000502791,0.000169974
150000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00053245,-0.0115818
155000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000119359,0.0232141
160000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000131373,0.0517312
165000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000166442,0.0771926
170000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000146796,0.0231189
175000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000443089,-0.0397753
180000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000513165,-0.0529779
185000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0017745,-0.08593
190000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000293901,0.00484118
195000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000267057,-0.00333091
200000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000196586,0.0105885
205000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000179813,-0.0104514
210000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000225782,-0.00304699
215000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000388017,-0.00753446
220000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000477359,0.00635589
225000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000610392,-0.0364525
230000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00065687,-0.0699681
235000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00046924,-0.0409053
240000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000425088,-0.0302269
245000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00154119,-0.0895612
250000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000315825,-0.0556049
255000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000141857,0.0261575
260000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000401375,-0.0221219
265000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000275189,0.00991093
270000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000320994,-0.0059871
275000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000179132,0.0556379
280000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000193353,0.00145311
285000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000314606,0.0046492
290000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000178386,0.0417388
295000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000307255,-0.00549971
300000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00016803,0.0261083
305000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000448815,-0.0296677
310000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000264839,-0.00847906
315000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000184486,-0.00478007
320000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00010118,0.0222785
325000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00044295,-0.0248008
330000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000362485,0.00356472
335000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000273424,0.0483319
340000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00051385,-0.00477035
345000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000349829,-0.0518948
350000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000410797,0.0130577
355000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000172498,0.0160525
360000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00184135,-0.0930149
365000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00210742,-0.089678
370000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0010344,-0.0655855
375000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00039402,-0.0106643
380000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000417082,0.00254489
385000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000550045,-0.0698543
390000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000444199,-0.0437024
395000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000679517,-0.0720672
400000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00281922,-0.113334
405000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00102579,-0.0554636
410000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000647558,-0.0601605
415000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000560862,-0.0379436
420000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000536195,-0.0440542
425000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000631226,-0.0458867
430000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000360876,-0.000761674
435000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000296788,-0.0236573
435000,Xanthichthys_ringens,NA,20.2887,1.3609,0.0883698
440000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000530896,-0.0408412
445000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000451085,-0.0393212
450000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000394967,-0.0791286
450000,Xanthichthys_ringens,NA,20.3588,1.63455,0.0268153
455000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000264862,-0.0377903
460000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000268803,0.044828
465000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000172865,0.0447131
470000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000437313,-0.0449161
475000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000799365,-0.0517409
480000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000429261,-0.0290385
485000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000176005,0.0382565
490000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000173041,-0.00404716
495000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000269049,0.04258
500000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000425456,0.021982
505000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000512217,-0.0562776
510000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000492319,-0.011357
515000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000160765,0.0330344
520000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000301091,0.00608456
525000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000236944,0.0398776
530000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000117028,0.0308997
535000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000304682,0.00540474
540000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000237423,0.0221925
545000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000153047,0.115512
550000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000352411,-0.00268024
555000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0002892,-0.0153292
560000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000343372,-0.0397529
565000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000497634,-0.00676638
570000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000390659,-0.0217405
575000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000449678,0.115625
580000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000725965,-0.0530563
585000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00126387,-0.0572685
590000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00197334,-0.111795
595000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000453959,-0.0410397
600000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000904139,-0.0631197
605000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000230863,0.133938
610000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000313433,0.0266218
615000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000273584,-0.00117492
620000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00012345,0.0514908
625000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0001682,0.0707367
630000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000152162,0.0234608
635000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000157856,0.114199
640000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000616083,-0.0126855
645000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000574502,-0.0548407
650000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000146277,0.0640313
655000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000238592,0.0221741
660000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000140617,0.0531993
665000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000105762,0.0268279
670000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000186485,-0.00134177
675000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000285172,0.012981
680000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000187522,0.0530758
685000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000264356,0.0083404
690000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000723802,-0.0568547
695000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00035492,-0.0304502
700000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000439619,-0.0357198
705000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000993175,-0.0748177
710000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00113231,-0.0991755
715000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000254597,0.00190232
720000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00339986,-0.136286
725000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000338199,-0.0240521
730000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000711222,-0.059158
735000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000167975,0.036773
740000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000382319,-0.0200677
745000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000159604,0.0423693
750000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000241381,-0.0199777
755000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000119076,0.0474014
760000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000248766,0.0144288
765000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000198739,0.0217047
770000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000192816,0.0326062
775000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000196615,0.114374
780000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000300507,0.00682446
785000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000137754,0.0538692
790000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000265625,0.0186835
795000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000594482,-0.0459135
800000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000355263,0.0123486
805000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000307145,0.00247707
810000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00128705,-0.0817152
815000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000176935,0.0511951
820000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000654234,-0.0283851
825000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00037598,-0.00250136
830000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00048114,-0.053145
835000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00128482,-0.100407
840000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000427321,-0.0177816
845000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000200741,-0.00159589
850000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000505299,-0.0620684
855000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000441888,-0.0031509
860000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000254479,-0.00143166
865000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000301294,-0.00317246
870000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000160107,0.0153104
875000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000475413,-0.0361068
880000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000469884,-0.0373869
885000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000352605,-0.00125376
890000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000203163,0.0841813
895000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00036469,-0.0390403
900000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00034599,-0.0245426
905000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00034236,0.0106991
910000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000193695,-0.00600403
915000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000249815,0.0755695
920000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000246111,0.0131697
925000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000396013,-0.0327543
930000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000667168,-0.0448284
935000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000354604,-0.029902
940000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00109682,-0.0655232
945000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000923073,-0.0738272
950000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000148549,0.0272201
955000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000150088,0.0940389
960000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000230935,-0.0141623
965000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00104863,-0.107508
970000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000646021,-0.0801277
975000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000237611,0.0438439
980000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000190757,0.0159317
985000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000495942,-0.0147075
990000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000663954,-0.0659241
995000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000447168,-0.0359362
1000000,Rhinecanthus_aculeatus,Melichthys_niger,0,7.48504e-05,0.093498
1005000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000192664,0.0612305
1010000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000265933,-0.0551201
1015000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000906473,-0.0643783
1020000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000536088,-0.0354643
1025000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000181517,0.0140349
1030000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00015271,0.0601454
1035000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000248092,0.0313878
1040000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000370069,0.0279927
1045000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000819834,-0.0648869
1050000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000346241,0.0063347
1055000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000746731,-0.0324466
