generation,leftchild,rightchild,abstime,betainit,betashift
0,Rhinecanthus_aculeatus,Melichthys_niger,0,0.5,0
5000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00837075,-0.282244
5000,Sufflamen_albicaudatum,Sufflamen_chrysopterum,17.705,0.00201473,-0.0569985
5000,Pseudobalistes_naufragium,NA,18.5179,0.000704175,0.0275064
5000,Xanthichthys_ringens,Xanthichthys_lineopunctatus,11.6597,0.00233723,-0.014857
10000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000265953,-0.0599477
10000,Sufflamen_albicaudatum,Sufflamen_chrysopterum,17.9502,0.000195261,0.0151544
10000,Sufflamen_albicaudatum,Sufflamen_chrysopterum,18.8485,0.00139929,-0.0927234
10000,Canthidermis_maculata,Canthidermis_sufflamen,12.2847,0.00440282,0.0260156
10000,Balistapus_undulatus,NA,11.4992,0.0004523,-0.00638228
10000,Xanthichthys_ringens,Xanthichthys_lineopunctatus,18.4005,0.00276642,-0.0389146
15000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000432396,-0.0341975
15000,Balistes_capriscus,NA,19.695,0.000772758,-0.0225222
15000,Odonus_niger,NA,16.305,0.00168329,-0.00193594
15000,Xanthichthys_ringens,Xanthichthys_lineopunctatus,11.2516,0.00160433,-0.00409607
20000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000570643,-0.0504776
20000,Sufflamen_albicaudatum,Sufflamen_chrysopterum,17.9774,0.0015139,-0.121816
20000,Balistoides_viridescens,Pseudobalistes_flavimarginatus,12.6598,0.000169079,-0.0207587
25000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000241259,0.0569298
30000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000808817,-0.0664419
35000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000271827,0.0866373
35000,Balistoides_viridescens,Pseudobalistes_flavimarginatus,14.3874,0.000597422,-0.00286905
35000,Rhinecanthus_aculeatus,Rhinecanthus_verrucosus,12.0071,0.000983228,-0.134182
35000,Sufflamen_albicaudatum,Sufflamen_chrysopterum,16.8065,0.00118836,0.0484213
35000,Sufflamen_albicaudatum,Sufflamen_bursa,14.531,0.000856746,-0.130814
35000,Pseudobalistes_fuscus,NA,15.6092,0.0010912,0.000344872
35000,Melichthys_niger,NA,17.6135,0.00108139,-0.0245628
35000,Balistoides_conspicillum,NA,17.877,0.0022051,-0.073492
35000,Abalistes_stellaris,NA,17.1847,0.000329774,-0.15859
40000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000252645,0.02108
45000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000439839,0.0819673
45000,Rhinecanthus_aculeatus,Rhinecanthus_verrucosus,14.2897,0.000318768,0.0124663
45000,Balistes_vetula,NA,15.4306,0.00064626,-0.0217594
50000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000500851,-0.023834
50000,Sufflamen_albicaudatum,Sufflamen_chrysopterum,16.048,0.00187124,-0.0114694
50000,Abalistes_stellaris,NA,15.7385,0.00285889,0.00231323
55000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000128119,0.0264416
55000,Rhinecanthus_aculeatus,Rhinecanthus_verrucosus,12.5588,0.00109985,-0.0780899
55000,Sufflamen_albicaudatum,Sufflamen_chrysopterum,17.4169,0.0013005,-0.00296608
55000,Balistoides_conspicillum,NA,18.9202,0.00238008,-0.0706965
55000,Balistapus_undulatus,NA,11.6852,0.000615691,-0.0399616
60000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000171984,0.0440975
65000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000320453,-0.00220659
65000,Rhinecanthus_rectangulus,NA,16.7774,0.00884719,-0.0713664
70000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000162923,0.0438357
75000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000540771,-0.0210525
75000,Balistoides_conspicillum,NA,17.8509,0.000387658,-0.00120382
80000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000214789,0.0509271
80000,Odonus_niger,NA,13.5259,0.0002332,-0.0939142
85000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000287768,0.0153546
90000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000294119,0.00891468
90000,Balistes_capriscus,Balistes_vetula,5.89624,0.000164866,-0.087792
90000,Balistes_capriscus,Balistes_vetula,11.3941,0.00317097,-0.115377
90000,Pseudobalistes_naufragium,NA,19.599,0.00160433,0.112884
95000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000392023,0.0110653
100000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000471425,0.0184763
105000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000624063,-0.0254989
110000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000400681,-0.0309551
115000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000393604,-0.0170418
120000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000237957,0.0546919
125000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000223109,0.019774
130000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000149886,0.137407
130000,Sufflamen_albicaudatum,Sufflamen_chrysopterum,17.3937,0.000569989,-0.0138896
130000,Odonus_niger,NA,9.91058,0.0012657,0.0143729
135000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000415177,0.0428704
135000,Abalistes_stellaris,NA,10.0031,0.000521728,-0.0227018
140000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000143365,0.128716
145000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000271688,0.0381079
145000,Sufflamen_bursa,NA,19.4088,0.000156985,-0.00764457
145000,Sufflamen_albicaudatum,Sufflamen_bursa,14.7385,0.00191015,-0.0437324
145000,Abalistes_stellaris,NA,7.14016,0.00175599,0.0759293
145000,Abalistes_stellaris,NA,5.04655,8.94473e-05,0.00601501
145000,Balistapus_undulatus,NA,19.2021,0.000158843,0.101238
145000,Melichthys_niger,Xanthichthys_ringens,0.808501,0.000326929,-0.0514537
150000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000179763,0.026296
150000,Balistoides_conspicillum,NA,14.9299,0.00119069,-0.0145763
155000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000260864,0.0216015
160000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000268059,0.00053468
160000,Sufflamen_albicaudatum,Sufflamen_fraenatum,12.2229,0.00234701,0.0591851
165000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000381011,-0.0378241
170000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000175577,0.0386678
175000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000165131,0.0326857
175000,Sufflamen_albicaudatum,NA,19.8182,0.00473184,0.0568407
180000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000140524,0.070782
180000,Melichthys_niger,NA,18.0436,0.000114554,0.048265
185000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000304547,0.030729
190000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000345256,0.00940663
195000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00068464,-0.050177
200000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000361309,0.0213476
200000,Sufflamen_albicaudatum,Sufflamen_fraenatum,10.0131,0.000500232,-0.0329335
200000,Balistoides_conspicillum,NA,11.0239,0.00111997,-0.0610605
200000,Xanthichthys_ringens,Xanthichthys_lineopunctatus,8.91343,0.000422964,0.0394904
205000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000306327,0.024224
205000,Sufflamen_albicaudatum,Sufflamen_chrysopterum,18.8922,0.00214674,0.0200752
210000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00029852,-0.0216053
210000,Sufflamen_albicaudatum,Sufflamen_bursa,14.5751,0.00286377,0.00753909
215000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000370007,-0.0247392
220000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000290011,0.0897357
220000,Rhinecanthus_aculeatus,NA,20.3699,0.00241987,-0.0828016
220000,Abalistes_stellaris,NA,18.4135,0.0024166,0.00147676
220000,Abalistes_stellaris,NA,15.5419,0.00123734,-0.0331658
225000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000240626,0.0938596
230000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000126166,0.0986631
235000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000479982,-0.0730275
235000,Sufflamen_albicaudatum,Sufflamen_bursa,15.2819,0.000786058,-0.0144652
240000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000402571,-0.0165931
240000,Balistapus_undulatus,NA,8.29822,0.000838842,-0.0577488
245000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000627416,-0.0355243
245000,Sufflamen_albicaudatum,Sufflamen_bursa,14.2387,0.00246231,0.049861
245000,Xanthichthys_ringens,NA,19.3356,0.00144029,0.085993
250000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000262305,0.0698924
250000,Balistes_capriscus,NA,17.9864,0.00111995,-0.0245451
250000,Balistoides_viridescens,Pseudobalistes_flavimarginatus,15.3362,0.00138607,0.063913
255000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000395042,-0.0209013
260000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000334922,0.100913
265000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000670491,-0.0405292
265000,Sufflamen_albicaudatum,Sufflamen_chrysopterum,17.7957,0.00110495,0.12979
270000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000316317,0.00603611
275000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.00041274,0.0014615
280000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000213155,0.0849687
280000,Sufflamen_albicaudatum,Sufflamen_chrysopterum,19.2304,0.00106979,0.0847357
280000,Balistoides_viridescens,Pseudobalistes_flavimarginatus,18.4865,2.24465e-05,-0.00835531
285000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000410904,-0.0132205
285000,Balistes_capriscus,Balistes_vetula,12.2826,0.00138606,0.0425696
285000,Xanthichthys_ringens,Balistoides_viridescens,5.29058,0.000544415,-0.0939797
290000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000475224,-0.0223953
290000,Balistoides_viridescens,Pseudobalistes_flavimarginatus,10.7493,0.000969826,-0.0655909
295000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000372133,-0.0176427
300000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000220469,-0.0143356
300000,Sufflamen_albicaudatum,Sufflamen_fraenatum,11.1437,0.00188159,-0.104098
300000,Canthidermis_maculata,Canthidermis_sufflamen,15.425,0.00133421,-0.0375597
300000,Balistoides_viridescens,Pseudobalistes_flavimarginatus,9.77729,0.00044084,0.00929468
305000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000563509,-0.0558923
310000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000857571,-0.0343711
315000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000570769,-0.0208447
315000,Sufflamen_albicaudatum,Sufflamen_chrysopterum,17.7303,0.00201359,-0.0527314
315000,Pseudobalistes_naufragium,NA,19.4436,0.00322751,0.015665
320000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000279117,0.100639
320000,Xanthichthys_ringens,Xanthichthys_lineopunctatus,14.5428,0.000761113,-0.0417608
325000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000505418,-0.0534502
325000,Sufflamen_albicaudatum,Sufflamen_bursa,15.3936,0.000732163,0.0483769
325000,Xanthichthys_ringens,Xanthichthys_lineopunctatus,14.3656,0.000427477,0.0800539
330000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000263471,0.167131
335000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.0007182,-0.041771
335000,Canthidermis_maculata,NA,19.4516,0.00283953,-0.0309225
335000,Balistapus_undulatus,NA,16.4528,0.00091016,0.0824601
340000,Rhinecanthus_aculeatus,Melichthys_niger,0,0.000213006,-0.00824279
