species,habitat,citation,alternate_classification,aspect_ratio,Adult_Dorsal_aspect_ratio,Adult_anal_aspect_ratio,Adult_dorsal_incidence_angle,Adult_anal_incidence_angle,Adult_Body_RW1,Adult_Body_RW2,Adult_Body_RW3,Adult_Dfin_RW1,Adult_Dfin_RW2,Adult_Dfin_RW3,Adult_AfinRW1,Adult_AfinRW2,Adult_AfinRW3,,Juvi_Dorsal_aspect_ratio,Juvi_anal_aspect_ratio,Juvi_dorsal_incidence_angle,Juvi_anal_incidence_angle,Juvi_Body_RW1,Juvi_Body_RW2,Juvi_Body_RW3,Juvi_Dfin_RW1,Juvi_Dfin_RW2,Juvi_Dfin_RW3,Juvi_AfinRW1,Juvi_AfinRW2,Juvi_AfinRW3,notes,3 adult habitat,Simplified_Habiat_Adult,Habiat_Adult,3 juvi habitat,habitat juvenile simple,Habitat_Juv,A water column,species,Adult A+J Dorsal1,Adult A+J Dorsal2,Adult A+J Dorsal3,Adult A+J Anal1,Adult A+J Anal2,Adult A+J Anal3,Juv A+J Dorsal1,Juv A+J Dorsal2,Juv A+J Dorsal3,Juv A+J Anal1,Juv A+J Anal2,Juv A+J Anal3,Adult A+J Bodyl1,Adult A+J Body2,Adult A+J Body3,Juvi A+J Bodyl1,Juvi A+J Body2,Juvi A+J Body3,Common TL (cm),Max TL
Abalistes_stellaris,reef,"Fischer, W., I. Sousa, C. Silva, A. de Freitas, J.M. Poutiers, W. Schneider, T.C. Borges, J.P. Feral and A. Massinga, 1990. Fichas FAO de identificaao de esp_cies para actividades de pesca. Guia de campo das esp_cies comerciais marinhas e de ˆguas salobras de Moambique. Publicaao preparada em collaboraao com o Instituto de Investigaao Pesquiera de Moambique, com financiamento do Projecto PNUD/FAO MOZ/86/030 e de NORAD. Roma, FAO. 1990. 424 p.",reef,low,0.34,0.35,29,32,7.55E-02,3.23E-02,-5.97E-03,-1.21E-01,1.42E-02,4.99E-02,-1.22E-01,7.24E-02,-7.04E-02,Abalistes_stellaris,0.4744154,0.5053994,35.25,38.5,-1.42E-02,3.39E-03,2.42E-03,-2.80E-02,-4.47E-02,-5.56E-02,-2.80E-02,-4.47E-02,-5.56E-02,,1.00E+00,10,10,999,999,999,2,Abalistes_stellaris,6.33E-02,1.35E-01,5.37E-05,-1.37E-01,1.02E-01,3.73E-02,4.35E-02,-4.21E-02,-5.31E-02,-5.17E-02,-4.83E-02,3.86E-02,,,,,,,40,60
Abalistes_stellatus,reef,"Dianne J. Bray, 2011, Starry Triggerfish,¾Abalistes stellatus, in Fishes of Australia, accessed 06 Jul 2016, http://fishesofaustralia.net.au:8084/home/species/759",reef,low,0.35,0.33,30,29.7,8.19E-02,1.52E-04,-1.07E-02,-1.44E-01,-1.50E-01,-7.63E-02,-2.25E-01,-2.58E-01,-2.50E-02,Abalistes_stellatus,,,,,,,,,,,,,,,1.00E+00,10,10,1,9,9,2,Abalistes_stellatus,1.29E-01,-9.78E-03,-1.36E-01,-1.37E-01,-2.04E-01,2.21E-01,,,,,,,,,,,,,,60
Balistapus_undulatus,reef,"Myers, R.F., 1991. Micronesian reef fishes. Second Ed. Coral Graphics, Barrigada, Guam. 298 p.",reef,low,0.355,0.4,31,31,1.21E-02,-5.51E-04,-2.02E-02,-1.46E-01,7.91E-04,-2.89E-02,-9.70E-02,3.53E-02,3.22E-02,Balistapus_undulatus,0.4484392,0.5122005,33.5,32.5,-2.33E-02,2.60E-03,7.69E-03,-1.66E-02,-5.55E-02,4.90E-02,-1.66E-02,-5.55E-02,4.90E-02,,3.00E+00,15,"4,6,7,12",3,15,"6,12",1,Balistapus_undulatus,1.10E-01,5.97E-02,2.03E-03,-8.91E-02,2.52E-02,-2.14E-02,1.19E-01,-4.83E-02,-3.76E-02,-7.46E-02,9.18E-03,-8.40E-02,,,,,,,26,30
Balistes_capriscus,non_reef,,structure,high,1.13,1.19230892,32,31,2.36E-02,3.69E-02,1.49E-02,-1.84E-01,5.59E-02,2.19E-02,1.52E-01,-1.27E-01,-2.57E-02,Balistes_capriscus,0.613691,0.5752179,37,40.7,-4.90E-02,-3.26E-02,5.26E-02,1.06E-01,-6.64E-02,-6.23E-02,1.06E-01,-6.64E-02,-6.23E-02,,3.00E+00,15,"4,6,9",1,9,9,1,Balistes_capriscus,-2.16E-01,-5.66E-02,-6.88E-02,4.16E-02,3.35E-02,-5.13E-02,9.47E-03,-1.73E-01,-6.09E-02,8.42E-02,-1.34E-01,1.26E-02,,,,,,,44,60
Balistes_polylepis,non_reef,,structure,high,1.14,1.16,34.7,29.6,1.52E-02,6.66E-02,-9.00E-03,1.49E-01,-8.16E-03,-1.13E-02,8.54E-02,-1.42E-01,4.83E-02,Balistes_polylepis,,,,,,,,,,,,,,,3,15,"10,1,11",1,14,"1,9",2,Balistes_polylepis,-1.90E-01,6.57E-04,-1.37E-03,1.36E-01,-4.52E-02,6.64E-02,,,,,,,,,,,,,50,76
Balistes_punctatus,non_reef,,structure,high,1.33,0.91,33,32,2.27E-02,8.20E-03,-2.80E-02,2.38E-01,-1.36E-02,5.98E-02,-4.25E-02,-9.93E-02,8.58E-02,Balistes_punctatus,,,,,,,,,,,,,,,3,15,"10,1,11",999,999,999,2,Balistes_punctatus,-2.72E-01,-6.95E-03,-3.18E-02,1.01E-02,-9.74E-02,1.14E-02,,,,,,,,,,,,,25,60
Balistes_vetula,reef,,mixed,high,1.61,1.185486829,33,31,1.74E-03,5.05E-02,-2.54E-02,2.56E-01,-4.49E-02,5.15E-02,1.62E-01,-1.08E-01,-6.13E-03,Balistes_vetula,0.5391026,0.4943925,38,37,-5.28E-02,-1.42E-02,2.77E-02,5.75E-02,-6.48E-02,8.63E-02,5.75E-02,-6.48E-02,8.63E-02,,3.00E+00,15,"1,2,6,11,12",1,14,"9,12",1,Balistes_vetula,-2.93E-01,2.00E-02,-3.33E-02,1.96E-01,2.76E-02,7.05E-02,7.75E-02,-1.07E-01,-4.04E-02,5.15E-02,-2.23E-01,6.67E-02,,,,,,,30,60
Balistoides_conspicillum,reef,"Myers, R.F., 1991. Micronesian reef fishes. Second Ed. Coral Graphics, Barrigada, Guam. 298 p.",reef,low,0.315,0.322,34.5,34.5,1.05E-02,-1.18E-02,7.51E-03,-1.44E-01,-1.29E-02,-1.53E-02,-8.64E-02,4.22E-02,4.39E-02,Balistoides_conspicillum,0.5199131,0.439363,38,39,-2.38E-02,-6.24E-02,1.83E-03,6.48E-02,-8.48E-02,5.02E-02,6.48E-02,-8.48E-02,5.02E-02,,2.00E+00,6,6,1,8,8,,Balistoides_conspicillum,1.02E-01,7.69E-02,-1.19E-02,-8.22E-02,3.01E-02,-2.87E-02,1.17E-01,-1.37E-01,-5.41E-02,1.13E-01,-2.36E-01,6.62E-03,,,,,,,,50
Balistoides_viridescens,reef,"Myers, R.F., 1991. Micronesian reef fishes. Second Ed. Coral Graphics, Barrigada, Guam. 298 p.",reef,medium,0.8,0.61,33.3,33.7,-4.65E-03,2.45E-02,-1.77E-02,-4.81E-02,5.45E-02,-2.57E-02,2.80E-02,2.07E-02,6.31E-02,Balistoides_viridescens,0.4883187,0.5201231,35,39,-4.41E-02,-4.79E-02,2.40E-02,3.62E-02,-7.51E-04,2.25E-03,3.62E-02,-7.51E-04,2.25E-03,,3.00E+00,15,"4,6",1,1,1,,Balistoides_viridescens,4.06E-03,5.82E-02,5.72E-02,1.96E-01,7.20E-03,1.11E-01,8.83E-02,-1.16E-01,4.63E-03,5.27E-03,-9.77E-02,-4.60E-02,,,,,,,,75
Canthidermis_maculata,non_reef,fishes_baja_california_guide,open,high,1.96,1.95,26,24,1.10E-01,-1.59E-02,7.07E-02,3.49E-01,1.73E-02,7.45E-04,3.35E-01,-3.90E-02,9.34E-02,Canthidermis_maculata,0.65,0.68,38,40,-6.68E-02,-5.25E-02,7.03E-02,9.92E-02,2.04E-02,-7.98E-03,9.92E-02,2.04E-02,-7.98E-03,,2.00E+00,9,"5,9",1,9,9,3,Canthidermis_maculata,-3.75E-01,-5.93E-02,-4.89E-03,3.52E-01,5.30E-02,-6.24E-02,9.07E-02,-1.78E-01,4.25E-02,1.45E-01,-2.25E-01,-7.28E-02,,,,,,,35,50
